time_oslo,artist,title,spotify,youtube
2026-08-28 11:48:08,Cat Stevens,Morning Has Broken,spotify:track:1xY7DqZ8OBcvHIXilqbhsv,https://www.youtube.com/watch?v=FP7Ry9MfkQU&feature=youtube_gdata_player
2026-08-28 11:51:04,Kari Bremnes,E Du Nord,,https://www.youtube.com/watch?v=kS4xw6CH_yc
2026-08-28 11:56:02,Susan Boyle,Memory,,https://www.youtube.com/watch?v=PQWJ_qJ1unc
2026-08-28 12:05:14,Kurt Nilsen & Helene Bøksle,Gje Me Handa Di Venn,,https://www.youtube.com/watch?v=bPtVeIbAbs4
2026-08-28 12:08:49,Sigmund Groven/Henning Sommerro,Vårsøg,,https://www.youtube.com/watch?v=xu9t5ii0yJk&feature=youtube_gdata_player
2026-08-28 12:12:31,Jahn Teigen,Min Første Kjærlighet,spotify:track:25277MomrCxEtzwC1TPZOt,https://www.youtube.com/watch?v=-ycFYM5M6lM&feature=youtube_gdata_player
2026-08-28 12:15:40,Lillebjørn Nilsen,Barn Av Regnbuen,spotify:track:53GiiBCwGcdXoJwZR9awFM,https://www.youtube.com/watch?v=REbrReiAA8c&feature=youtube_gdata_player
2026-08-28 12:20:12,Jørn Hoel,Har en drøm,spotify:track:6OdmWiwcBCi8lfk6xhhKem,https://www.youtube.com/watch?v=Y8m2f9SnQ6g&feature=youtube_gdata_player
2026-08-28 12:23:58,Ulf Lundell,Öppna Landskap,spotify:track:1rudppuYTKpVCtWoocDiS1,https://www.youtube.com/watch?v=uuOUev9EgI8&feature=youtube_gdata_player
2026-08-28 12:28:31,Elton John,Candle In The Wind,spotifyv2-ZZ:track:spotify:track:3UhnMyiGYB7tqqJY7yNFKT,https://www.youtube.com/watch?v=NoOhnrjdYOc
2026-08-28 12:33:15,Halvdan Sivertsen,Sommerfuggel I Vinterland,spotify:track:2H9Csy75rOVfA62zpBmkzU,https://www.youtube.com/watch?v=tR5TFQh2eMc&feature=youtube_gdata_player
2026-08-28 12:38:06,The Beatles,Yesterday,spotify:track:70amysvQ129AXb29wbPQPf,https://www.youtube.com/watch?v=XNnaxGFO18o&feature=youtube_gdata_player
2026-08-28 12:40:59,John Williams,"Cavatina (Tema fra ""Hjortejegern"")",,
2026-08-28 12:45:04,Jahn Teigen,Det vakreste som fins,spotify:track:540RHDIFG7xAtbYS0ay42d,https://www.youtube.com/watch?v=r9eL8IRt4Kw&feature=youtube_gdata_player
2026-08-28 12:48:10,Josh Groban,You Raise Me Up,spotify:track:45BmeITuhHgg5iWCAAaU7P,https://www.youtube.com/watch?v=aJxrX42WcjQ&feature=youtube_gdata_player
2026-08-28 12:52:04,Eric Clapton,Tears In Heaven,spotify:track:1kgdslQYmeTR4thk9whoRw,https://www.youtube.com/watch?v=VRsJlAJvOSM&feature=youtube_gdata_player
2026-08-28 12:56:28,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),,https://www.youtube.com/watch?v=dys15rYMTfw
2026-08-28 13:06:07,Susan Boyle,Amazing Grace,,https://www.youtube.com/watch?v=A0gLntLIBYw
2026-08-28 13:14:26,Herborg Kråkevik,Leid Milde Ljos,,https://www.youtube.com/watch?v=a9_UtfT6dFg
2026-08-28 13:16:59,Carola,Blott En Dag,,https://www.youtube.com/watch?v=HooqAe8Ntb0
2026-08-28 13:21:44,Bjørn Eidsvåg,Evig hvile,,https://www.youtube.com/watch?v=O0aV5ncIVzY
2026-08-28 13:27:23,Elvis Presley with the Royal Philharmonic Orchestra,Always on My Mind,,https://www.youtube.com/watch?v=Yf2KtxEtsEM
2026-08-28 13:30:53,Herborg Kråkevik,Den Fyrste Song,,https://www.youtube.com/watch?v=IgoVoL6AW6s
2026-08-28 13:34:11,Sissel Kyrkjebø,Innerst i sjelen,,https://www.youtube.com/watch?v=gEdZKDJB-aY&feature=youtube_gdata_player
2026-08-28 13:37:47,Frank Sinatra,My Way,spotify:track:0hMFKOq7kqWaoc1TvfWd7k,https://www.youtube.com/watch?v=6E2hYDIFDIU&feature=youtube_gdata_player
2026-08-28 13:43:35,Vamp,Tir n'a noir,spotify:track:1btqjLUJDczAOkDqL4vpFn,https://www.youtube.com/watch?v=cfGPz2sVw4E&feature=youtube_gdata_player
2026-08-28 13:47:57,R.E.M.,Everybody Hurts,spotify:track:2CLLsEF6qzl6fnzS9LqZzN,https://www.youtube.com/watch?v=ijZRCIrTgQc&feature=youtube_gdata_player
2026-08-28 13:51:29,Åge Aleksandersen,Lys Og Varme,spotify:track:2vQhkgDKP6ichisFj1AMim,https://www.youtube.com/watch?v=5RtOdtqbSQA&feature=youtube_gdata_player
2026-08-28 13:56:26,Susan Boyle feat. Michael Bolton,Somewhere Out There,,https://www.youtube.com/watch?v=sEt_tCy5PZU
2026-08-28 14:05:13,Jonas Fjeld & Lynni Treekrem,Engler I Sneen,,https://www.youtube.com/watch?v=_46wnWOECck&feature=youtube_gdata_player
2026-08-28 14:10:44,Eva Cassidy,Over The Rainbow,spotify:track:2HmyD46ScWHArRYIFiF8XS,https://www.youtube.com/watch?v=4RDmXsGeiF8&feature=youtube_gdata_player
2026-08-28 14:15:38,D.D.E.,Vinsjan på kaia,spotify:track:0rGmVnFoc1BVo3QuaZvyFA,https://www.youtube.com/watch?v=t_ax8xoDNOs&feature=youtube_gdata_player
